任务ID,阶段,模块,功能点,任务描述,工时(小时),优先级,依赖任务,交付物,备注
P1-015,Phase 2,Android开发,官网下载页,开发pages/download/index.vue下载页面，支持扫码下载,3,P1,P1-014,H5页面,需微信环境检测
P1-016,Phase 3,PWA开发,PWA基础配置,配置manifest.json和Service Worker，支持添加到主屏幕,3,P1,,PWA配置,iOS Safari兼容
P1-017,Phase 3,PWA开发,支付宝H5支付,集成支付宝手机网站支付，跳转支付宝网页完成支付,3,P1,P1-006,支付功能,需处理返回回调
P1-018,Phase 3,PWA开发,支付结果页,开发支付成功/失败结果展示页面，引导返回PWA,2,P1,P1-017,结果页面,含刷新检查状态
P1-019,Phase 3,PWA开发,iOS安装引导,开发iOS PWA安装教程页面，图文展示添加到主屏幕步骤,3,P1,P1-016,引导页面,需截图演示
P1-020,Phase 3,PWA开发,小程序引流页,开发小程序内引导下载App的页面，区分Android/iOS,2,P1,P1-015,P1-019,引流页面,横幅+按钮引导
P1-021,Phase 4,小程序改造,关闭支付入口,隐藏小程序内所有支付相关按钮和页面入口,1,P0,,代码注释,保留功能代码备查
P1-022,Phase 4,小程序改造,首页引导横幅,在pages/index/index.vue添加App下载引导横幅,1,P0,P1-021,UI组件,点击跳转下载页
P1-023,Phase 4,小程序改造,个人中心改造,改造pages/index/my.vue，移除支付入口，添加会员状态展示,1,P1,P1-022,页面调整,保留原有布局
P1-024,Phase 5,后台管理,版本发布功能,开发版本管理后台，支持上传APK和发布新版本,4,P2,P1-005,管理后台,含文件上传
P1-025,Phase 5,后台管理,版本列表查询,开发版本历史列表，支持查看和下架旧版本,2,P2,P1-024,管理后台,分页查询
P1-026,Phase 5,后台管理,强制更新设置,支持设置某个版本为强制更新，低于此版本必须升级,2,P2,P1-024,管理后台,开关控制
A1-001,资料代办,支付宝申请,企业账号注册,代注册支付宝开放平台企业账号，提交认证资料,4,P0,,账号信息,需甲方提供营业执照
A1-002,资料代办,支付宝申请,移动应用创建,代创建"魔力淘"移动应用，申请App支付功能,2,P0,A1-001,应用配置,需等待审核
A1-003,资料代办,支付宝申请,密钥配置,生成RSA2密钥对，配置应用公钥和回调地址,1,P0,A1-002,密钥文件,需保密存储
A1-004,资料代办,部署配置,CDN配置,配置APK文件CDN加速和下载域名,2,P1,,CDN配置,复用现有CDN
A1-005,资料代办,部署配置,PWA域名配置,配置PWA服务域名和HTTPS证书,1,P1,A1-004,域名配置,需已备案域名
T1-001,测试验收,功能测试,支付流程测试,测试会员购买完整流程，含支付成功和失败场景,2,P1,P1-010,测试报告,多种支付方式
T1-002,测试验收,功能测试,自动更新测试,测试App自动检测版本、下载、安装流程,2,P1,P1-014,测试报告,需真机测试
T1-003,测试验收,功能测试,PWA兼容性测试,测试iOS Safari PWA功能和支付流程,2,P1,P1-018,测试报告,iOS 14+设备
T1-004,测试验收,上线部署,Android打包,使用HBuilderX打包正式版APK并签名,1,P1,T1-002,APK文件,需证书
T1-005,测试验收,上线部署,PWA部署,部署PWA文件到生产服务器,1,P1,T1-003,线上链接,验证HTTPS
T1-006,测试验收,上线部署,小程序提交审核,提交降级后的小程序版本审核,1,P1,P1-023,审核通过,保留聊天功能
D1-001,文档交付,技术文档,接口文档,整理所有后端API接口文档，含参数和示例,2,P2,,Markdown文档,随开发同步更新
D1-002,文档交付,技术文档,部署文档,编写后端部署和前端打包部署步骤说明,1,P2,,Markdown文档,含常见问题
D1-003,文档交付,技术文档,运维手册,编写如何发布新版本APK和查看日志的操作指南,1,P2,P1-024,Markdown文档,含截图说明
