功能模块,任务ID,任务名称,任务描述,平台,实现技术方案,优先级,状态,负责模块,预计工时,依赖任务,备注
登录,APP-011,前端：添加 API 方法,在 api.ts 添加 weixinAppAuthenticate API 调用,全平台,在 api.ts 添加 weixinAppAuthenticate 方法，使用 POST 请求调用 /api/TokenAuth/WeixinAppAuthenticate,高,待开始,前端,0.5天,APP-009,
登录,APP-012,前端：改造登录逻辑,在 userStore.ts 使用条件编译区分小程序和 APP 登录,全平台,在 wxLogin 方法中使用 #ifdef MP-WEIXIN 和 #ifdef APP-PLUS 条件编译，分别调用 weixinMiniAuthenticate 和 weixinAppAuthenticate,高,待开始,前端,1天,APP-011,
登录,APP-013,前端：配置 manifest.json,配置微信 SDK 的 appid 和 appsecret,全平台,在 manifest.json 的 app-plus > distribute > sdkConfigs > oauth > weixin 节点配置 appid 和 appsecret,高,待开始,前端,0.5天,APP-003,
跨平台适配,APP-014,前端：wx API 替换为 uni API,将 18 处 wx.* API 调用替换为 uni.* API,全平台,1. wx.requestPayment → uni.requestPayment 2. wx.connectSocket → uni.connectSocket 3. wx.previewImage → uni.previewImage 4. wx.sendSocketMessage → uni.sendSocketMessage 5. 其他 wx.* API → uni.* API,中,待开始,前端,2天,APP-004,
支付,APP-015,后端：微信支付 SDK 接入,接入微信支付 APP SDK，配置支付参数,全平台,1. 在微信开放平台申请 APP 支付权限 2. 后端接入微信支付 APP SDK（Java 或原生）3. 配置商户号、API 密钥、证书 4. 实现统一下单接口 5. 实现支付回调接口,高,待开始,后端,3天,APP-004,
支付,APP-016,前端：微信支付接口适配,将 wx.requestPayment 替换为 uni.requestPayment,全平台,将所有 wx.requestPayment 调用替换为 uni.requestPayment，传入参数包括 provider（wxpay）、orderInfo（后端返回的支付参数）,高,待开始,前端,1天,APP-015,
实时通讯,APP-017,前端：WebSocket 适配,将 wx.connectSocket 替换为 uni.connectSocket,全平台,将所有 wx.connectSocket 调用替换为 uni.connectSocket，uni.connectSocket 在 APP 平台完全兼容，无需额外配置,中,待开始,前端,1天,APP-004,
推送,APP-018,后端：推送系统接入,接入 APP 推送服务（个推或 UniPush）,全平台,1. 注册推送服务（个推或 UniPush）2. 后端集成推送 SDK（.NET）3. 实现推送接口 4. 配置应用参数（AppID、AppKey、MasterSecret）5. 实现推送消息模板,中,待开始,后端,2天,APP-004,
推送,APP-019,前端：推送 SDK 集成,集成推送 SDK，处理推送消息,全平台,1. 在 manifest.json 配置推送 SDK 2. 初始化推送 SDK 3. 注册推送监听 4. 处理推送消息 5. 处理点击事件（跳转到对应页面）,中,待开始,前端,1天,APP-018,
权限,APP-020,前端：权限适配,处理相机、位置等原生权限申请,iOS/Android,1. 在 manifest.json 配置权限（相机、位置、相册）2. 调用 uni.authorize 动态申请权限 3. 处理权限拒绝情况 4. 引导用户前往设置开启权限,中,待开始,前端,1天,APP-004,
登录测试,APP-021,前端：登录功能测试,测试小程序用户登录 APP，验证是同一个用户,全平台,1. 在小程序首次登录，获取 unionid 2. 在 APP 使用相同微信登录，验证返回的 userId 与小程序一致 3. 验证用户数据（余额、魔力值、聊天记录）一致,高,待开始,测试,1天,APP-012,
登录测试,APP-022,前端：新用户注册测试,测试新用户在 APP 注册,全平台,1. 在 APP 使用微信首次登录 2. 验证自动注册成功 3. 验证用户信息正确（昵称、头像）,中,待开始,测试,0.5天,APP-021,
登录测试,APP-023,前端：跨平台登录测试,测试 APP 用户登录小程序，验证是同一个用户,全平台,1. 在 APP 首次登录，获取 unionid 2. 在小程序使用相同微信登录 3. 验证返回的 userId 与 APP 一致,中,待开始,测试,1天,APP-021,
支付测试,APP-024,前端：支付功能测试,测试 APP 端微信支付功能,iOS/Android,1. 测试魔力值充值 2. 测试余额充值 3. 测试秒杀支付 4. 验证支付成功后余额正确扣减,高,待开始,测试,1天,APP-016,
通讯测试,APP-025,前端：聊天功能测试,测试 APP 端聊天、秒杀出价等 WebSocket 功能,全平台,1. 测试私聊消息收发 2. 测试群聊消息收发 3. 测试秒杀出价 4. 测试离线消息 5. 测试消息提示音,高,待开始,测试,1天,APP-017,
权限测试,APP-026,前端：权限功能测试,测试相机、位置等权限功能,iOS/Android,1. 测试相册选择图片 2. 测试相机拍照 3. 测试位置获取 4. 测试权限申请弹窗,中,待开始,测试,0.5天,APP-020,
综合测试,APP-027,后端：iOS 真机调试,在 iOS 真机测试所有功能,iOS,在 iOS 真机上运行自定义基座，测试所有功能（登录、支付、聊天、推送、权限等），记录问题和性能数据,中,待开始,测试,2天,APP-021-APP-026,
综合测试,APP-028,后端：Android 真机调试,在 Android 真机测试所有功能,Android,在 Android 真机上运行自定义基座，测试所有功能（登录、支付、聊天、推送、权限等），记录问题和性能数据,中,待开始,测试,2天,APP-021-APP-026,
性能优化,APP-029,后端：性能优化,包体大小优化、启动速度优化、内存优化,全平台,1. 包体优化：CPU 架构分离（只选 arm64-v8a）、模块精简、资源压缩 2. 启动优化：代码分包、预加载关键资源 3. 内存优化：长列表虚拟滚动、图片懒加载,中,待开始,优化,3天,APP-027,APP-028,
打包优化,APP-030,前端：打包优化,分包优化、资源压缩、代码混淆,全平台,1. 使用 Vite 代码压缩 2. 开启分包加载 3. 图片资源压缩 4. 开启代码混淆（生产环境）5. 配置环境变量（开发/生产）,中,待开始,优化,2天,APP-029,
发布准备,APP-031,后端：iOS 应用市场准备,准备 iOS 应用截图、描述、隐私政策等,iOS,1. 准备应用图标（1024x1024）2. 准备应用截图（iPhone 6.7、6.5、5.5）3. 编写应用描述（中文、英文）4. 编写隐私政策 5. 准备审核说明,中,待开始,发布,1天,APP-030,
发布准备,APP-032,后端：Android 应用市场准备,准备 Android 应用截图、描述、隐私政策等,Android,1. 准备应用图标（512x512）2. 准备应用截图（手机、平板）3. 编写应用描述（中文、英文）4. 编写隐私政策 5. 准备审核说明,中,待开始,发布,1天,APP-030,
发布,APP-033,后端：iOS 应用打包,打包 iOS 应用，上传到 App Store Connect,iOS,1. 使用 XCode 打包 IPA 2. 使用 HBuilderX 云打包 3. 上传到 App Store Connect 4. 填写版本信息 5. 提交审核,高,待开始,发布,1天,APP-031,
发布,APP-034,后端：Android 应用打包,打包 Android 应用，上传到各大应用市场,Android,1. 使用 HBuilderX 云打包 APK 2. 签名 APK 3. 上传到各大应用市场（华为、小米、应用宝等）4. 填写版本信息 5. 提交审核,高,待开始,发布,1天,APP-032,
发布,APP-035,前端：应用审核,等待 iOS 和 Android 应用审核通过,全平台,监控审核状态，响应审核反馈，如被拒绝则修改后重新提交，最终通过审核上线,高,待开始,发布,7-14天,APP-033,APP-034,
