功能模块,任务ID,任务名称,任务描述,平台,实现技术方案,优先级,状态,负责模块,预计工时,依赖任务,备注,
登录,APP-017,前端：添加 API 方法,在 api.ts 添加 weixinAppAuthenticate、phoneAuth、phonePasswordAuth、getAlipayOrder API 调用,全平台,在 api.ts 添加 weixinAppAuthenticate、phoneAuth、phonePasswordAuth、getAlipayOrder、getPaymentStatus 方法，使用 POST/GET 请求调用对应接口,高,待开始,前端,0.5天,APP-011,APP-016,
登录,APP-018,前端：改造登录逻辑,在 userStore.ts 使用条件编译区分小程序、APP、PWA 登录,全平台,在 wxLogin 方法中使用 #ifdef MP-WEIXIN、#ifdef APP-PLUS、#ifdef H5 条件编译，分别调用不同的登录接口，新增 codeLogin、passwordLogin 方法,高,待开始,前端,1天,APP-017,,
登录,APP-019,前端：配置 manifest.json,配置微信 SDK 和支付宝 SDK 的 appid 和 appsecret,全平台,在 manifest.json 的 app-plus > distribute > sdkConfigs 节点配置 oauth（微信）和 payment（支付宝）的 appid 和 appsecret,高,待开始,前端,0.5天,APP-003,APP-003-1,
登录,APP-020,前端：PWA Service Worker 开发,开发 Service Worker 实现离线缓存和推送通知,全平台,1. 创建 service-worker.js 2. 实现缓存策略（Cache API）3. 实现 Web Push 通知监听 4. 实现离线页面拦截 5. 注册 Service Worker,高,待开始,前端,1天,APP-006,,
登录,APP-021,前端：PWA Web App Manifest 配置,配置 Web App Manifest（启动画面、图标、主题色）,全平台,1. 创建 manifest.json 2. 配置应用名称、图标、启动画面 3. 配置主题色、背景色 4. 配置显示模式（standalone）5. 配置方向（portrait）,高,待开始,前端,0.5天,APP-006,,
登录,APP-022,前端：PWA 登录页面开发,开发 PWA 登录页面（验证码登录、密码登录）,全平台,1. 设计登录页面 UI（手机号输入、验证码输入、密码输入）2. 实现验证码发送功能 3. 实现验证码登录功能 4. 实现密码登录功能 5. 实现登录跳转逻辑,高,待开始,前端,2天,APP-020,APP-021,
登录,APP-023,前端：PWA 支付页面开发,开发 PWA 支付页面（支付宝支付、微信支付引导）,全平台,1. 设计支付页面 UI（支付方式选择）2. 实现支付宝支付（H5 跳转）3. 实现支付结果轮询 4. 实现微信支付引导（引导到 Android APP）5. 实现支付状态展示,高,待开始,前端,2天,APP-022,APP-016,
跨平台适配,APP-024,前端：wx API 替换为 uni API,将 18 处 wx.* API 调用替换为 uni.* API,全平台,1. wx.requestPayment → uni.requestPayment 2. wx.connectSocket → uni.connectSocket 3. wx.previewImage → uni.previewImage 4. wx.sendSocketMessage → uni.sendSocketMessage 5. 其他 wx.* API → uni.* API,中,待开始,前端,2天,APP-006,,
支付,APP-025,前端：支付宝支付接口适配,实现支付宝 H5 支付功能,全平台,1. 调用后端获取支付宝订单接口 2. 创建表单并提交到支付宝网关 3. 实现支付结果轮询 4. 处理支付成功/失败 5. 更新订单状态,高,待开始,前端,1.5天,APP-017,APP-016,
支付,APP-026,前端：微信支付接口适配,将 wx.requestPayment 替换为 uni.requestPayment,全平台,1. 将所有 wx.requestPayment 调用替换为 uni.requestPayment，传入参数包括 provider（wxpay）、orderInfo（后端返回的支付参数）,高,待开始,前端,1天,APP-025,,
支付,APP-027,前端：支付方式选择逻辑,根据平台显示可用的支付方式,全平台,1. 根据平台判断可用支付方式（Android：微信+支付宝，iOS：支付宝）2. 支付宝支付（所有平台）3. 微信支付（仅 Android APP）4. 显示推荐标签,高,待开始,前端,0.5天,APP-025,APP-026,
实时通讯,APP-028,前端：WebSocket 适配,将 wx.connectSocket 替换为 uni.connectSocket,全平台,1. 将所有 wx.connectSocket 调用替换为 uni.connectSocket，uni.connectSocket 在 APP 平台完全兼容，无需额外配置,中,待开始,前端,1天,APP-006,,
实时通讯,APP-029,前端：实时通讯功能开发,开发 PWA 实时通讯功能（聊天、秒杀出价）,全平台,1. 实现 WebSocket 连接管理 2. 实现消息发送/接收 3. 实现聊天功能 4. 实现秒杀出价功能 5. 实现离线重连机制,高,待开始,前端,2天,APP-028,APP-024,
推送,APP-030,前端：PWA 推送通知开发,开发 PWA 推送通知功能（iOS 16.4+）,全平台,1. 实现推送权限申请 2. 实现 Web Push 注册 3. 实现推送消息展示 4. 实现推送点击跳转 5. 实现推送 badge 角标,中,待开始,前端,2天,APP-020,,
推送,APP-031,后端：推送服务接入,接入 APP 推送服务（个推或 UniPush）,全平台,1. 注册推送服务（个推或 UniPush）2. 后端集成推送 SDK（.NET）3. 实现推送接口 4. 配置应用参数（AppID、AppKey、MasterSecret）5. 实现推送消息模板,中,待开始,后端,2天,APP-006,,
推送,APP-032,前端：推送 SDK 集成,集成推送 SDK，处理推送消息,全平台,1. 在 manifest.json 配置推送 SDK 2. 初始化推送 SDK 3. 注册推送监听 4. 处理推送消息 5. 处理点击事件（跳转到对应页面）,中,待开始,前端,1天,APP-031,,
推送,APP-033,前端：PWA 后台运行提示,提示用户保持前台以接收实时消息,全平台,1. 检测页面可见性（visibilitychange） 2. 提示用户保持前台 3. 自动重连 WebSocket 4. 显示重要通知,中,待开始,前端,0.5天,APP-029,,
权限,APP-034,前端：权限适配,处理相机、位置等原生权限申请,iOS/Android,1. 在 manifest.json 配置权限（相机、位置、相册）2. 调用 uni.authorize 动态申请权限 3. 处理权限拒绝情况 4. 引导用户前往设置开启权限,中,待开始,前端,1天,APP-006,,
登录测试,APP-035,前端：登录功能测试,测试各种登录方式（验证码、密码、微信）,全平台,1. 1. 测试手机号验证码登录 2. 测试手机号+密码登录 3. 测试微信登录（仅 Android）4. 验证登录成功后用户数据正确 5. 测试注册功能,高,待开始,测试,1.5天,APP-018,,
登录测试,APP-036,前端：跨平台登录测试,测试小程序、Android、PWA 用户登录 APP 后是同一个用户,全平台,1. 1. 在小程序首次登录，获取 unionid 2. 在 Android APP 使用相同微信登录 3. 在 PWA 使用手机号登录 4. 验证返回的 userId 一致,中,待开始,测试,1天,APP-035,,
支付测试,APP-037,前端：支付功能测试,测试 Android 和 PWA 端支付功能,全平台,1. 1. Android：测试微信支付、支付宝支付 2. PWA：测试支付宝支付 3. 验证支付成功后余额正确扣减 4. 测试支付失败处理,高,待开始,测试,1.5天,APP-025,APP-026,APP-027
通讯测试,APP-038,前端：聊天功能测试,测试 Android 和 PWA 端聊天、秒杀出价等 WebSocket 功能,全平台,1. 1. 测试私聊消息收发 2. 测试群聊消息收发 3. 测试秒杀出价 4. Android：测试离线消息 5. PWA：测试前台消息,高,待开始,测试,1.5天,APP-029,,
通讯测试,APP-039,前端：PWA 后台断开处理,测试 PWA 切换后台 WebSocket 断开的处理,全平台,1. 1. 测试页面可见性检测 2. 测试后台断开提示 3. 测试前台重连 4. 测试重要消息推送,中,待开始,测试,1天,APP-033,,
权限测试,APP-040,前端：权限功能测试,测试相机、位置等权限功能,iOS/Android,1. 1. 测试相册选择图片 2. 测试相机拍照 3. 测试位置获取 4. 测试权限申请弹窗,中,待开始,测试,0.5天,APP-034,,
综合测试,APP-041,后端：Android 真机调试,在 Android 真机测试所有功能,Android,1. 在 Android 真机上运行自定义基座，测试所有功能（登录、支付、聊天、推送、权限等），记录问题和性能数据,中,待开始,测试,2天,APP-035-APP-040,,
综合测试,APP-042,后端：PWA 真机调试,在 iOS PWA 真机测试所有功能,iOS,1. 在 iOS Safari 测试 PWA，测试所有功能（登录、支付、聊天、推送、权限等），记录问题和性能数据,中,待开始,测试,2天,APP-035-APP-040,,
性能优化,APP-043,后端：Android 性能优化,包体大小优化、启动速度优化、内存优化,Android,1. 1. 包体优化：CPU 架构分离（只选 arm64-v8a）、模块精简、资源压缩 2. 启动优化：代码分包、预加载关键资源 3. 内存优化：长列表虚拟滚动、图片懒加载,中,待开始,优化,3天,APP-041,APP-042,
性能优化,APP-044,前端：PWA 性能优化,优化 PWA 性能（加载速度、运行性能）,全平台,1. 1. 代码分割（Code Splitting）2. 懒加载（Lazy Loading）3. 图片压缩和优化 4. Service Worker 缓存优化 5. 减少网络请求,中,待开始,优化,2天,APP-043,,
打包优化,APP-045,前端：Android 打包优化,分包优化、资源压缩、代码混淆,Android,1. 1. 使用 Flutter 代码压缩 2. 开启分包加载 3. 图片资源压缩 4. 开启代码混淆（生产环境）5. 配置环境变量（开发/生产）,中,待开始,优化,2天,APP-043,,
打包优化,APP-046,前端：PWA 打包优化,优化 PWA 构建产物,全平台,1. 1. Webpack/Vite 代码压缩 2. 资源文件压缩 3. Tree Shaking 4. Source Map 生成（开发环境）,中,待开始,优化,1天,APP-044,,
发布准备,APP-047,后端：Android 应用市场准备,准备 Android 应用截图、描述、隐私政策等,Android,1. 1. 准备应用图标（512x512）2. 准备应用截图（手机、平板）3. 编写应用描述（中文、英文）4. 编写隐私政策 5. 准备审核说明,中,待开始,发布,1天,APP-045,,
发布准备,APP-048,前端：iOS PWA 发布准备,准备 iOS PWA 上线资源,全平台,1. 1. 准备应用图标 2. 准备启动画面 3. 准备 Web App Manifest 4. 配置 PWA SEO 5. 准备上线检查清单,中,待开始,发布,1天,APP-046,,
发布,APP-049,后端：Android 应用打包,打包 Android 应用，上传到各大应用市场,Android,1. 1. 使用 HBuilderX 云打包 APK 2. 签名 APK 3. 上传到各大应用市场（华为、小米、应用宝等）4. 填写版本信息 5. 提交审核,高,待开始,发布,1天,APP-047,,
发布,APP-050,前端：iOS PWA 上线,部署 iOS PWA 到生产环境,全平台,1. 1. 构建生产环境 PWA 2. 部署到服务器 3. 配置 HTTPS 4. 配置 Service Worker 5. 验证 PWA 功能（Add to Home Screen）,高,待开始,发布,1天,APP-048,,
发布,APP-051,前端：Android 应用审核,等待 Android 应用审核通过,Android,1. 监控审核状态，响应审核反馈，如被拒绝则修改后重新提交，最终通过审核上线,高,待开始,发布,7-14天,APP-049,,
发布,APP-052,前端：Android 应用上线,Android 应用审核通过后正式上线,Android,1. Android 应用商店上架 2. 发布更新日志 3. 用户引导 4. 监控应用数据,高,待开始,发布,0.5天,APP-051,,
