模块,功能点,功能描述,页面,API接口,依赖,预估工时(小时),主要技术路线,风险等级,优先级
交易站模块,置顶帖子,显示置顶帖子,pages/tradingPost/index,-,-,2,UI 样式,🟢 低风险,P2
交易站模块,热词,显示热门搜索词,pages/tradingPost/index,post.GetHotWordsList,-,2,简单展示,🟢 低风险,P2
交易站模块,-,小计,-,-,-,38,-,-,-
用户管理模块,个人中心,显示用户信息,pages/index/my,user.get,-,4,简单展示,🟢 低风险,P2
用户管理模块,用户信息编辑,编辑用户资料,pages/user/info,user.update,-,6,表单验证,🟡 中风险,P2
用户管理模块,余额管理,查看余额明细,pages/user/balanceLog,UserBalanceLog.GetMyAll,-,4,列表展示,🟢 低风险,P2
用户管理模块,保证金管理,查看保证金明细,pages/user/depositLog,UserDepositLog.GetMyAll,-,4,列表展示,🟢 低风险,P2
用户管理模块,充值,账户充值,pages/index/my,client.TopUp,小程序支付,16,集成支付 SDK,🔴 高风险,P1
用户管理模块,提现,账户提现,pages/index/my,client.PayWithdrawal,-,8,业务逻辑,🟡 中风险,P2
用户管理模块,用户列表,查看用户列表,pages/user/list,user.getAll,-,4,列表展示,🟢 低风险,P2
用户管理模块,-,小计,-,-,-,46,-,-,-
公告模块,公告列表,显示公告列表,pages/announce/list,announce.getAll,-,4,简单列表,🟢 低风险,P3
公告模块,公告详情,显示公告详情,pages/announce/list,announce.getLatest,uni.previewImage,2,简单展示,🟢 低风险,P3
公告模块,-,小计,-,-,-,6,-,-,-
总计,-,-,-,-,-,292,-,-,-
